belong,id_gdf,time,geometry,area_tb,centroid_,mean_tb,mean_pp,max_pp,intersection_percentage,distance_c,direction,total_duration,total_distance,mean_velocity
000336ce-fb40,48c6-8bc8-86e332760db7,2019-12-29 20:00:00,"POLYGON ((-76.55000305175781 4.749999999999996, -76.75 4.84999990463257, -76.84999847412109 4.949999809265132, -77.05000305175781 5.449999809265138, -77.05000305175781 5.55000019073486, -76.84999847412109 7.150000095367433, -75.65000152587891 8.350000381469727, -75.55000305175781 8.350000381469725, -75.44999694824219 8.050000190734862, -75.55000305175781 5.949999809265132, -75.65000152587891 5.349999904632574, -75.84999847412109 5.05000019073486, -75.94999694824219 4.949999809265138, -76.55000305175781 4.749999999999996))",49170.9,POINT (-76.19960816713829 6.397479935029382),219.4333,5.5851,17.7096,85.1,101.75156350507237,183.4,3,119.97176337233294,39.990587790777646
000336ce-fb40,4ef9-9045-41c92ceb3a7e,2019-12-29 19:00:00,"POLYGON ((-76.65000152587891 6.550000190734861, -76.75 6.650000095367431, -76.15000152587891 7.949999809265127, -76.05000305175781 8.050000190734874, -75.75 8.149999618530282, -75.65000152587891 8.149999618530277, -75.65000152587891 7.849999904632577, -75.94999694824219 6.949999809265133, -76.15000152587891 6.650000095367434, -76.65000152587891 6.550000190734861))",10805.4,POINT (-76.14447083995616 7.315906415511147),215.3396,5.9205,16.9926,21.4,,,3,119.97176337233294,39.990587790777646
000336ce-fb40,4fcf-aa28-7102f64558d0,2019-12-29 21:00:00,"POLYGON ((-76.65000152587891 4.749999999999994, -76.84999847412109 4.949999809265132, -76.94999694824219 5.15000009536743, -77.05000305175781 5.449999809265138, -77.05000305175781 5.750000000000007, -76.75 7.249999999999997, -76.65000152587891 7.449999809265144, -76.55000305175781 7.550000190734862, -76.05000305175781 8.050000190734874, -75.94999694824219 8.149999618530266, -75.25 8.55000019073486, -75.15000152587891 8.350000381469716, -75.44999694824219 5.949999809265134, -75.55000305175781 5.449999809265131, -75.75 5.250000000000005, -76.15000152587891 4.84999990463257, -76.34999847412109 4.749999999999996, -76.65000152587891 4.749999999999994))",56721.1,POINT (-76.09978351656382 6.528532544004793),219.6955,6.5042,34.0868,,18.220199867260575,37.3,3,119.97176337233294,39.990587790777646
00465ab5-2707,41c2-a05b-2a0a590cb55e,2019-12-26 20:00:00,"POLYGON ((-72.44999694824219 8.949999809265142, -72.44999694824219 9.350000381469725, -72.05000305175781 9.64999961853027, -71.75 9.649999618530272, -71.75 9.550000190734867, -71.84999847412109 9.149999618530275, -72.25 8.949999809265131, -72.44999694824219 8.949999809265142))",4260.3,POINT (-72.11149300380167 9.30480912864896),220.5123,,,,41.986943678170014,13.8,2,41.986943678170014,20.993471839085007
00465ab5-2707,4bdf-88dc-4a77a4be98a3,2019-12-26 19:00:00,"POLYGON ((-72.44999694824219 8.550000190734856, -72.55000305175781 8.649999618530273, -72.55000305175781 8.949999809265137, -72.44999694824219 9.25, -72.15000152587891 9.350000381469719, -72.05000305175781 9.350000381469734, -71.94999694824219 9.249999999999996, -71.84999847412109 9.149999618530275, -71.84999847412109 8.749999999999998, -71.94999694824219 8.649999618530268, -72.25 8.550000190734865, -72.44999694824219 8.550000190734856))",5664.9,POINT (-72.20195845409441 8.935988303227418),215.5026,4.9963,10.0471,35.5,,,2,41.986943678170014,20.993471839085007
0057f981-08fa,450a-a064-fdba7fc808ab,2019-12-28 15:00:00,"POLYGON ((-81.65000152587891 4.249999999999998, -81.84999847412109 4.349999904632576, -82.44999694824219 5.050000190734856, -82.34999847412109 5.249999999999991, -81.84999847412109 5.250000000000003, -81.55000305175781 5.150000095367425, -81.44999694824219 4.949999809265133, -81.44999694824219 4.349999904632571, -81.55000305175781 4.25, -81.65000152587891 4.249999999999998))",8329.0,POINT (-81.85751919238486 4.824559996455985),217.1636,3.1863,5.8016,53.3,8.114680573804005,234.1,5,43.189347747013656,8.637869549402732
0057f981-08fa,453a-bb55-a8e6a99b0f9c,2019-12-28 12:00:00,"POLYGON ((-82.05000305175781 4.65000009536743, -82.05000305175781 4.750000000000001, -81.84999847412109 5.050000190734866, -81.65000152587891 5.150000095367434, -81.55000305175781 5.150000095367425, -81.34999847412109 5.050000190734857, -81.25 4.849999904632561, -81.25 4.749999999999996, -81.34999847412109 4.65000009536743, -82.05000305175781 4.65000009536743))",3788.2,POINT (-81.63050480659265 4.862035996196849),217.4268,3.0659,4.6789,50.4,,,5,43.189347747013656,8.637869549402732
0057f981-08fa,4a12-b8a2-f26d45e05317,2019-12-28 16:00:00,"POLYGON ((-81.55000305175781 4.449999809265135, -81.84999847412109 4.650000095367425, -81.94999694824219 4.749999999999997, -82.25 5.150000095367431, -82.05000305175781 5.250000000000004, -81.75 5.249999999999994, -81.55000305175781 5.050000190734855, -81.44999694824219 4.650000095367428, -81.44999694824219 4.550000190734863, -81.55000305175781 4.449999809265135))",4474.2,POINT (-81.79077336702048 4.909833305489633),219.9409,,,,11.988799031476866,38.1,5,43.189347747013656,8.637869549402732
0057f981-08fa,4afb-8048-d2d07f648166,2019-12-28 13:00:00,"POLYGON ((-81.94999694824219 4.449999809265136, -82.15000152587891 4.550000190734869, -82.25 4.65000009536744, -82.25 4.849999904632575, -82.15000152587891 5.150000095367425, -81.34999847412109 5.150000095367431, -81.34999847412109 4.65000009536743, -81.44999694824219 4.550000190734863, -81.84999847412109 4.44999980926514, -81.94999694824219 4.449999809265136))",6900.0,POINT (-81.79169919136795 4.825094803551721),212.6373,,,66.9,18.341131230537925,257.1,5,43.189347747013656,8.637869549402732
0057f981-08fa,4ba7-a6ee-bcf6cc3f89f7,2019-12-28 14:00:00,"POLYGON ((-81.75 4.249999999999997, -82.34999847412109 4.849999904632575, -82.34999847412109 4.949999809265135, -82.25 5.249999999999998, -82.05000305175781 5.34999990463257, -81.44999694824219 5.249999999999997, -81.25 4.949999809265135, -81.25 4.849999904632561, -81.65000152587891 4.249999999999998, -81.75 4.249999999999997))",9880.8,POINT (-81.79819890796728 4.867503435861854),216.7489,3.486,7.3659,77.3,4.744736911194863,351.3,5,43.189347747013656,8.637869549402732
