belong,id_gdf,time,geometry,area_tb,centroid_,mean_tb,mean_pp,max_pp,intersection_percentage,distance_c,direction,total_duration,total_distance,mean_velocity
0033fcc8-75b8,491c-bd83-04f27529dee1,2019-12-25 05:00:00,"POLYGON ((-62.04999923706055 -7.75, -62.45000076293945 -7.650000095367433, -62.75 -7.449999809265134, -62.54999923706054 -7.250000000000003, -62.24999999999999 -7.249999999999997, -62.04999923706055 -7.650000095367425, -62.04999923706055 -7.75))",2688.6,POINT (-62.37050717648992 -7.478699623955942),223.1899,,,,,,1,0.0,0.0
0055d26d-a002,459c-a563-0496bbcaf4dc,2019-12-28 01:00:00,"POLYGON ((-65.55000305175781 -3.650000095367426, -65.84999847412109 -3.349999904632573, -66.05000305175781 -3.04999995231628, -66.15000152587891 -2.849999904632575, -66.15000152587891 -2.749999999999999, -65.55000305175781 -2.750000000000004, -65.34999847412109 -2.950000047683719, -65.25 -3.150000095367434, -65.34999847412109 -3.65000009536743, -65.55000305175781 -3.650000095367426))",6686.0,POINT (-65.65139596409259 -3.138554066232321),223.0871,4.221,5.8614,,,,1,0.0,0.0
007c1496-1a3d,4022-b38f-d7437edfec88,2019-12-25 14:00:00,"POLYGON ((-80.05000305175781 3.849999904632573, -80.44999694824219 3.950000047683718, -80.55000305175781 4.050000190734859, -80.55000305175781 4.349999904632568, -80.44999694824219 4.750000000000007, -79.94999694824219 5.550000190734862, -79.84999847412109 5.650000095367427, -78.94999694824219 6.449999809265128, -78.75 6.550000190734856, -78.55000305175781 6.550000190734857, -77.55000305175781 5.550000190734867, -77.75 5.150000095367437, -77.94999694824219 4.949999809265135, -78.55000305175781 4.44999980926514, -79.05000305175781 4.05000019073487, -79.34999847412109 3.950000047683715, -79.75 3.849999904632576, -80.05000305175781 3.849999904632573))",59063.7,POINT (-79.11655220629272 5.11411722693492),218.7653,7.3634,47.5173,60.1,,,2,41.35418044709327,20.677090223546635
007c1496-1a3d,47f7-8d76-0dadf82e73bb,2019-12-25 15:00:00,"POLYGON ((-79.94999694824219 3.950000047683714, -80.34999847412109 4.150000095367435, -80.55000305175781 4.349999904632568, -80.55000305175781 4.550000190734857, -80.44999694824219 4.949999809265146, -79.75 5.849999904632572, -79.34999847412109 5.849999904632567, -79.05000305175781 5.750000000000003, -78.55000305175781 5.449999809265134, -78.15000152587891 5.150000095367428, -78.15000152587891 4.849999904632576, -78.25 4.749999999999997, -78.55000305175781 4.550000190734863, -79.65000152587891 4.050000190734857, -79.94999694824219 3.950000047683714))",36742.0,POINT (-79.43182929988836 4.914401237175313),219.2077,4.0311,17.963,,41.35418044709327,237.6,2,41.35418044709327,20.677090223546635
008c3c2e-6b91,40dc-b45c-a775ee883e7f,2019-12-30 11:00:00,"POLYGON ((-84.65000152587891 4.749999999999996, -85.55000305175781 5.349999904632567, -85.34999847412109 5.550000190734856, -84.55000305175781 5.849999904632564, -84.44999694824219 5.849999904632562, -83.94999694824219 5.349999904632563, -83.65000152587891 4.949999809265137, -83.65000152587891 4.849999904632568, -83.84999847412109 4.749999999999998, -84.65000152587891 4.749999999999996))",16056.8,POINT (-84.55232668678511 5.245686227029456),218.4089,7.2778,20.3547,17.5,,,1,0.0,0.0
0092052e-0bc0,402a-8ac8-bff87c247bc8,2019-12-27 17:00:00,"POLYGON ((-69.25 -9.949999809265126, -69.25 -9.850000381469721, -69.05000305175781 -9.649999618530265, -68.65000152587891 -9.250000000000007, -68.44999694824219 -9.449999809265133, -68.25 -9.649999618530282, -68.34999847412109 -9.949999809265128, -69.25 -9.949999809265126))",5217.5,POINT (-68.70818882929522 -9.695575819065523),214.7629,3.0618,5.6131,79.7,13.411097232922451,94.7,4,24.43243980141417,6.108109950353542
0092052e-0bc0,4a00-bc8f-d5a3342d49de,2019-12-27 19:00:00,"POLYGON ((-68.75 -9.949999809265138, -68.94999694824219 -9.649999618530272, -68.84999847412109 -9.550000190734863, -68.55000305175781 -9.350000381469725, -68.44999694824219 -9.350000381469725, -68.34999847412109 -9.949999809265128, -68.75 -9.949999809265138))",3007.5,POINT (-68.61597741874444 -9.684015605149401),221.4078,3.2719,5.1212,,10.008347807185514,77.3,4,24.43243980141417,6.108109950353542
0092052e-0bc0,4b25-8959-0bd36b9117b9,2019-12-27 18:00:00,"POLYGON ((-68.94999694824219 -9.949999809265126, -69.15000152587891 -9.85000038146973, -69.15000152587891 -9.75, -69.05000305175781 -9.649999618530265, -68.94999694824219 -9.550000190734853, -68.55000305175781 -9.350000381469725, -68.44999694824219 -9.350000381469725, -68.34999847412109 -9.85000038146973, -68.34999847412109 -9.949999809265128, -68.94999694824219 -9.949999809265126))",4234.0,POINT (-68.70489546815956 -9.704131708043336),215.8367,,,71.0,1.0129947613062056,158.9,4,24.43243980141417,6.108109950353542
0092052e-0bc0,4e8e-8191-5ea4ccc2b2dc,2019-12-27 16:00:00,"POLYGON ((-69.34999847412109 -9.94999980926514, -68.94999694824219 -9.350000381469723, -68.55000305175781 -9.350000381469725, -68.44999694824219 -9.749999999999998, -68.44999694824219 -9.850000381469723, -68.55000305175781 -9.94999980926514, -69.34999847412109 -9.94999980926514))",4846.2,POINT (-68.82997166226899 -9.68549129690226),214.7322,4.0282,7.8227,77.6,,,4,24.43243980141417,6.108109950353542
00972452-5334,41dd-b290-3a40c4635370,2019-12-27 17:00:00,"POLYGON ((-77.15000152587891 7.15000009536744, -78.05000305175781 8.149999618530272, -78.05000305175781 8.350000381469725, -77.94999694824219 8.550000190734867, -77.75 8.749999999999989, -77.55000305175781 8.850000381469719, -76.34999847412109 8.949999809265137, -76.25 8.949999809265142, -76.25 8.649999618530273, -76.34999847412109 8.050000190734858, -76.44999694824219 7.849999904632572, -76.94999694824219 7.150000095367433, -77.15000152587891 7.15000009536744))",27005.4,POINT (-77.09841272280984 8.18204987440498),219.7017,3.3119,7.5748,,34.18528170018358,38.4,4,110.03682769868735,27.509206924671837
00972452-5334,42c9-a482-bba24cbfa10a,2019-12-27 15:00:00,"POLYGON ((-77.75 7.15000009536744, -77.94999694824219 7.349999904632567, -77.84999847412109 7.650000095367431, -77.55000305175781 8.05000019073487, -77.44999694824219 8.149999618530277, -77.25 8.250000000000009, -76.55000305175781 7.550000190734862, -76.65000152587891 7.449999809265144, -76.75 7.349999904632572, -77.65000152587891 7.150000095367433, -77.75 7.15000009536744))",11054.2,POINT (-77.30002092340359 7.627436298052197),215.8187,3.3357,5.3946,41.8,41.32736381654799,61.4,4,110.03682769868735,27.509206924671837
00972452-5334,47d7-b35e-717f045909b3,2019-12-27 14:00:00,"POLYGON ((-77.75 7.050000190734867, -77.84999847412109 7.150000095367426, -77.84999847412109 7.550000190734868, -77.65000152587891 7.749999999999988, -77.44999694824219 7.749999999999995, -77.34999847412109 7.650000095367431, -77.34999847412109 7.550000190734862, -77.44999694824219 7.349999904632567, -77.75 7.050000190734867))",2872.4,POINT (-77.62878462006211 7.44853665338715),211.5632,2.7723,4.0818,24.3,,,4,110.03682769868735,27.509206924671837
