belong,id_gdf,time,geometry,area_tb,centroid_,mean_tb,intersection_percentage,distance_c,direction,total_duration,total_distance,mean_velocity
08953042-d348,42b6-9d39-8242df7e4759,2001-12-29 19:00:00,"POLYGON ((-76.52182769775391 -7.440871715545656, -76.59458160400391 -7.40448713302613, -76.66734313964844 -7.331714153289789, -76.84922790527344 -7.004245281219482, -76.88561248779297 -6.931472301483151, -76.88561248779297 -6.64038801193238, -76.84922790527344 -6.56761503219605, -76.74009704589844 -6.458457469940187, -76.66734313964844 -6.385688304901118, -76.52182769775391 -6.240146160125732, -76.19441986083984 -6.021831035614019, -76.12166595458984 -5.985446453094477, -75.68512725830078 -5.912673473358161, -75.64874267578125 -5.912673473358153, -75.46685791015626 -5.949058055877678, -75.24858093261719 -6.604003429412844, -75.24858093261719 -6.676772594451907, -75.39409637451172 -7.077014446258552, -75.53961181640625 -7.258944988250737, -76.23079681396484 -7.440871715545645, -76.52182769775391 -7.440871715545656))",22988.6,POINT (-76.05023804803496 -6.702334771031531),206.5761,64.0,,,4,114.05869556808491,28.51467389202123
08953042-d348,47dd-a678-048447fde261,2001-12-29 20:00:00,"POLYGON ((-76.26718139648438 -7.586413860321041, -76.55820465087891 -7.550029277801514, -76.77647399902344 -7.368102550506586, -76.81285095214844 -7.33171415328979, -76.99474334716797 -7.040629863739021, -76.95836639404298 -6.858703136444099, -76.88561248779297 -6.749545574188229, -76.81285095214844 -6.67677259445191, -76.70372009277344 -6.60400342941285, -76.23079681396484 -6.422072887420652, -76.19441986083984 -6.422072887420657, -75.35771942138672 -6.640388011932376, -75.13945007324219 -6.749545574188237, -75.13945007324219 -6.858703136444101, -75.61236572265625 -7.331714153289789, -75.90339660644531 -7.513644695281986, -75.97615051269531 -7.550029277801511, -76.23079681396484 -7.586413860321049, -76.26718139648438 -7.586413860321041))",17971.2,POINT (-76.12966288723979 -6.992412124548968),209.7825,50.7,33.25919538078389,195.3,4,114.05869556808491,28.51467389202123
08953042-d348,4ada-a106-fde2342a8cdd,2001-12-29 22:00:00,"POLYGON ((-76.37631225585939 -7.986659526824944, -76.77647399902344 -7.8411135673523, -76.95836639404298 -7.513644695281988, -76.95836639404298 -7.331714153289792, -76.88561248779297 -7.295329570770269, -76.55820465087891 -7.258944988250725, -76.52182769775391 -7.258944988250733, -76.08528900146484 -7.550029277801506, -76.15804290771484 -7.731959819793705, -76.37631225585939 -7.986659526824944))",5168.8,POINT (-76.54489005536908 -7.59396319576889),212.8857,,48.35384632769824,214.3,4,114.05869556808491,28.51467389202123
08953042-d348,4f4f-904e-5298cd11b3c8,2001-12-29 21:00:00,"POLYGON ((-76.55820465087891 -7.695571422576907, -76.95836639404298 -7.295329570770266, -76.99474334716797 -7.258944988250727, -76.95836639404298 -7.14978742599487, -76.88561248779297 -7.077014446258547, -76.84922790527344 -7.040629863739008, -76.41268920898438 -6.785930156707771, -75.90339660644531 -6.785930156707766, -75.72150421142578 -6.967856884002684, -75.72150421142578 -7.14978742599487, -75.79425811767578 -7.404487133026124, -75.86701965332031 -7.586413860321048, -76.01252746582031 -7.659186840057373, -76.26718139648438 -7.695571422576901, -76.55820465087891 -7.695571422576907))",10764.0,POINT (-76.29860194144874 -7.232405414106386),211.5083,25.3,32.445653859602785,215.1,4,114.05869556808491,28.51467389202123
12278854-33ec,44f0-8a93-3b91e33bca13,2001-12-30 04:00:00,"POLYGON ((-80.30517578125 6.240147113800054, -80.88722991943359 6.349300861358636, -81.54203796386719 6.822315692901618, -81.57841491699219 6.858700275421144, -81.57841491699219 6.895092487335212, -81.54203796386719 7.113399982452387, -81.25100708007812 7.91389131546021, -81.17825317382812 7.986660480499276, -79.25019836425781 9.078228950500485, -78.99555206298828 9.187390327453613, -77.72231292724609 9.223774909973139, -77.64955139160156 9.223774909973143, -77.64955139160156 7.622799396514891, -77.72231292724609 7.404491901397705, -77.75868988037109 7.368099689483639, -78.81365966796876 6.60400056838989, -78.92279815673828 6.56761598587036, -79.86862945556641 6.312916278839111, -80.26879119873047 6.240147113800056, -80.30517578125 6.240147113800054))",100973.5,POINT (-79.46051819624299 7.7005483245607),212.0053,,174.803949185157,66.4,3,183.2150989880932,61.07169966269773
12278854-33ec,46e5-8280-f2c2a2012f76,2001-12-30 02:00:00,"POLYGON ((-80.85084533691406 6.422077655792244, -81.57841491699219 6.494846820831307, -81.86943817138672 6.604000568389898, -81.94219970703125 6.640392780303957, -81.97857666015625 6.676777362823486, -81.94219970703125 6.749546527862543, -81.32376861572266 7.695576190948483, -81.28739166259766 7.731960773468025, -81.10549926757812 7.877499103546147, -81.03273773193359 7.913891315460212, -80.63257598876953 7.913891315460206, -80.26879119873047 7.513645648956297, -79.97776794433594 6.676777362823482, -79.97776794433594 6.64039278030396, -80.01414489746094 6.604000568389892, -80.15966033935547 6.458462238311773, -80.81446838378906 6.422077655792233, -80.85084533691406 6.422077655792244))",25324.4,POINT (-80.91120684331001 7.067231850954333),210.5013,21.3,8.411149802936203,65.4,3,183.2150989880932,61.07169966269773
12278854-33ec,4f0c-8831-651fec280ad2,2001-12-30 01:00:00,"POLYGON ((-81.46927642822266 6.458462238311771, -81.61479187011719 6.531231403350839, -81.72393035888672 6.676777362823494, -81.72393035888672 6.822315692901612, -81.50566101074219 7.258945941925055, -81.39652252197266 7.368099689483642, -81.32376861572266 7.404491901397707, -81.17825317382812 7.477261066436768, -80.59619903564453 7.659191608428955, -80.414306640625 7.659191608428958, -80.34155273437501 7.622799396514897, -80.30517578125 7.550030231475823, -80.26879119873047 7.33171510696411, -80.26879119873047 7.295330524444577, -80.30517578125 7.149792194366464, -80.34155273437501 7.077015399932867, -80.52344512939453 6.749546527862545, -80.59619903564453 6.676777362823489, -80.81446838378906 6.531231403350823, -81.06911468505859 6.458462238311768, -81.46927642822266 6.458462238311771))",15340.5,POINT (-80.98043003678258 7.035576402656541),209.6794,60.3,,,3,183.2150989880932,61.07169966269773
301cfa66-c3bb,40c9-8f2c-0245f83026a9,2001-12-30 16:00:00,"POLYGON ((-82.70614624023438 5.112186908721922, -82.88803863525391 5.257732868194584, -83.5428466796875 5.803516864776605, -83.5792236328125 5.839901447296142, -83.6156005859375 5.949062824249271, -83.6156005859375 6.021831989288331, -83.5792236328125 6.094601154327398, -82.92441558837891 6.240147113800043, -82.88803863525391 6.240147113800054, -82.56063079833984 6.203762531280516, -82.41511535644531 6.130993366241448, -82.37873840332031 6.094601154327391, -82.23322296142578 5.91267824172974, -82.19684600830078 5.54881715774536, -82.19684600830078 5.257732868194585, -82.48787689208984 5.14857912063598, -82.70614624023438 5.112186908721922))",13713.9,POINT (-82.80960033589382 5.733228931903852),212.4809,51.3,27.56716676295295,311.9,3,57.87586493237985,19.291954977459948
301cfa66-c3bb,4680-8546-96e26f7cefaa,2001-12-30 20:00:00,"POLYGON ((-83.36095428466798 5.003033161163331, -83.47008514404297 5.039417743682868, -83.5064697265625 5.075802326202401, -83.6519775390625 5.403278827667227, -83.6519775390625 5.657978534698481, -83.5792236328125 5.803516864776611, -83.5064697265625 5.83990144729615, -82.81527709960938 6.021831989288324, -82.59700775146484 6.058216571807859, -82.52425384521484 6.021831989288331, -82.26959991455078 5.839901447296139, -82.34236145019531 5.657978534698482, -82.37873840332031 5.621586322784425, -82.66976165771484 5.403278827667238, -83.36095428466798 5.003033161163331))",11106.5,POINT (-83.0407757641117 5.586645929930225),213.3613,,30.308698169426897,237.6,3,57.87586493237985,19.291954977459948
301cfa66-c3bb,4db5-a6ed-00b7b6e3b5f3,2001-12-30 15:00:00,"POLYGON ((-82.63338470458984 5.184963703155512, -82.85165405273438 5.366886615753181, -82.92441558837891 5.512432575225826, -82.99716949462891 5.694363117218014, -82.63338470458984 5.949062824249264, -82.52425384521484 5.949062824249276, -82.30598449707031 5.585201740264893, -82.30598449707031 5.476047992706293, -82.34236145019531 5.366886615753166, -82.37873840332031 5.294117450714119, -82.41511535644531 5.257732868194579, -82.63338470458984 5.184963703155512))",4338.3,POINT (-82.62436263649529 5.566773507665368),210.6552,31.6,,,3,57.87586493237985,19.291954977459948
309e8c9d-9831,4082-806b-0f3e968a9f9b,2001-12-30 04:00:00,"POLYGON ((-88.01737976074219 4.711948871612549, -88.05375671386719 4.821102619171142, -88.12651824951172 5.148579120635979, -88.12651824951172 5.221348285675058, -87.98100280761719 5.294117450714118, -87.76273345947266 5.294117450714102, -87.68997192382812 5.257732868194582, -87.65359497070312 5.221348285675049, -87.61721801757812 5.112186908721925, -87.65359497070312 4.857487201690679, -87.87186431884766 4.748333454132078, -87.98100280761719 4.711948871612557, -88.01737976074219 4.711948871612549))",2960.7,POINT (-87.87507732904723 5.032052883857813),213.0747,61.7,,,3,89.84961211856607,29.94987070618869
309e8c9d-9831,4558-8fb4-e1e41c0c6fa3,2001-12-30 08:00:00,"POLYGON ((-87.87186431884766 4.784718036651615, -88.12651824951172 4.89387941360474, -88.12651824951172 4.966648578643804, -87.47170257568359 6.240147113800051, -87.32619476318361 6.385693073272705, -87.21705627441406 6.45846223831176, -87.10792541503906 6.4948468208313, -86.92603302001953 6.38569307327271, -86.853271484375 6.312916278839114, -86.81689453125 5.439663410186763, -86.81689453125 5.075802326202389, -87.07154083251953 4.893879413604728, -87.25343322753906 4.82110261917114, -87.36257171630859 4.784718036651608, -87.87186431884766 4.784718036651615))",19193.6,POINT (-87.35006319640402 5.51292502552841),215.5703,,76.62788312677554,37.9,3,89.84961211856607,29.94987070618869
309e8c9d-9831,4ef1-b9b2-899f7a33c6d4,2001-12-30 05:00:00,"POLYGON ((-87.87186431884766 4.675564289093012, -87.9082489013672 4.711948871612545, -88.12651824951172 4.966648578643804, -88.16289520263672 5.039417743682854, -88.16289520263672 5.075802326202401, -88.09013366699219 5.184963703155522, -87.98100280761719 5.221348285675044, -87.94462585449219 5.221348285675051, -87.54446411132812 5.148579120635992, -87.39894866943359 5.003033161163327, -87.36257171630859 4.893879413604739, -87.36257171630859 4.857487201690668, -87.43532562255859 4.821102619171145, -87.72635650634766 4.711948871612552, -87.83548736572266 4.675564289093017, -87.87186431884766 4.675564289093012))",3786.0,POINT (-87.77529329212842 4.966617955097283),213.7873,16.6,13.221728991790528,123.3,3,89.84961211856607,29.94987070618869
333b1f95-f91a,49f3-b1d2-5b61ac50d75a,2001-12-29 19:00:00,"POLYGON ((-72.59296417236328 -5.039416790008539, -73.06588745117188 -4.639174938201907, -73.10226440429688 -4.602790355682376, -73.39328765869141 -3.729533672332758, -73.39328765869141 -3.51121854782104, -73.32053375244141 -3.402060985565177, -73.28415679931641 -3.365676403045661, -73.24777221679688 -3.329288005828863, -73.17501831054688 -3.292903423309328, -72.77485656738281 -3.292903423309334, -72.52021026611328 -3.365676403045658, -72.4474563598633 -3.438445568084724, -72.33831787109375 -3.583987712860108, -72.19280242919922 -3.838687419891349, -72.15642547607422 -4.457244396209711, -72.26556396484375 -4.966643810272211, -72.41107177734376 -5.039416790008542, -72.59296417236328 -5.039416790008539))",19706.0,POINT (-72.73280962179511 -4.097639413151244),206.3453,43.6,,,3,200.4553854468043,66.81846181560144
333b1f95-f91a,4b18-9ff8-d5040e6d00f8,2001-12-29 21:00:00,"POLYGON ((-72.70210266113281 -5.403274059295657, -72.92037200927734 -5.366889476776114, -73.10226440429688 -5.075801372528072, -73.8662109375 -3.838687419891349, -74.12085723876953 -3.220134258270256, -74.12085723876953 -2.965434551239015, -73.68431854248047 -1.218921065330497, -73.64793395996094 -1.109763503074654, -73.17501831054688 -0.2728914320468968, -73.13864135742188 -0.2365068644285164, -72.4474563598633 -0.09096471965313463, -72.26556396484375 -0.1273493021726542, -72.15642547607422 -0.2728914320468838, -72.01091003417969 -0.6367487311363285, -72.19280242919922 -5.184958934783943, -72.22917938232422 -5.294116497039799, -72.26556396484375 -5.330501079559319, -72.33831787109375 -5.36688947677613, -72.62934112548828 -5.403274059295649, -72.70210266113281 -5.403274059295657))",100527.6,POINT (-72.92421001393407 -2.681337316404583),211.5312,,148.03707399086764,11.6,3,200.4553854468043,66.81846181560144
333b1f95-f91a,4cd6-aab0-a3765de3b5c9,2001-12-29 20:00:00,"POLYGON ((-72.33831787109375 -5.294116497039789, -72.66572570800781 -5.257731914520259, -72.77485656738281 -5.221343517303468, -74.44825744628906 -3.838687419891361, -74.48464202880859 -3.765918254852294, -74.48464202880859 -3.656760692596441, -74.22998809814453 -3.110976696014397, -74.15723419189453 -3.001819133758548, -74.12085723876953 -2.965434551239015, -73.79344940185547 -2.819888591766349, -72.66572570800781 -3.256518840789797, -72.55658721923828 -3.32928800582885, -72.26556396484375 -3.838687419891349, -72.15642547607422 -4.566401958465584, -72.15642547607422 -5.221343517303469, -72.26556396484375 -5.29411649703979, -72.33831787109375 -5.294116497039789))",43620.5,POINT (-73.19310971039884 -3.99253428586014),212.7106,36.2,52.41831145593667,282.9,3,200.4553854468043,66.81846181560144
368be1ab-8e2a,4313-a1b8-f2e57d182276,2001-12-29 22:00:00,"POLYGON ((-75.75788116455078 -0.818675458431245, -75.97615051269531 -0.6367487311363252, -75.97615051269531 -0.563975751399988, -75.83063507080078 -0.2001184672117161, -75.79425811767578 -0.1637338846922003, -75.68512725830078 -0.2001184672117311, -75.64874267578125 -0.236506864428521, -75.61236572265625 -0.272891432046888, -75.57598876953125 -0.3820489943027473, -75.68512725830078 -0.8186754584312416, -75.75788116455078 -0.818675458431245))",2124.8,POINT (-75.76777530732147 -0.4929714540977463),212.7462,,26.079677801704587,20.1,3,93.18366905136449,31.061223017121495
368be1ab-8e2a,46a3-b065-161917009309,2001-12-29 19:00:00,"POLYGON ((-75.06669616699219 -0.891448438167571, -75.72150421142578 -0.7095217108726576, -75.79425811767578 -0.6731333136558528, -75.83063507080078 -0.6367487311363165, -75.83063507080078 -0.5639757513999896, -75.79425811767578 -0.4548181593418078, -75.72150421142578 -0.3092760145664249, -75.32134246826172 -0.01819173805415733, -75.28496551513672 -0.0181917380541581, -75.10307312011719 -0.05457632243633078, -75.03031158447266 -0.09096471965313681, -74.84841918945314 -0.4912065565586112, -74.84841918945314 -0.5639757513999867, -74.88480377197266 -0.8550638556480411, -74.92118072509766 -0.8914484381675661, -75.06669616699219 -0.891448438167571))",7480.7,POINT (-75.29365924999109 -0.4779975383297007),212.3022,25.3,,,3,93.18366905136449,31.061223017121495
368be1ab-8e2a,48b0-857b-d79a69c2ddec,2001-12-29 21:00:00,"POLYGON ((-76.01252746582031 -1.255305647850045, -76.15804290771484 -0.5275911688804674, -76.08528900146484 -0.3456644117832104, -75.97615051269531 -0.2728914320468848, -75.90339660644531 -0.2728914320468833, -75.50323486328125 -0.418433576822287, -75.57598876953125 -0.818675458431239, -75.64874267578125 -1.036990523338312, -75.93977355957031 -1.25530564785004, -76.01252746582031 -1.255305647850045))",5454.5,POINT (-75.84895422562849 -0.7142175809372899),207.6018,31.3,67.1039912496599,247.0,3,93.18366905136449,31.061223017121495
44fe2e3a-5818,429a-b212-a819eb46dfc7,2001-12-29 23:00:00,"POLYGON ((-76.48545074462891 -9.442084312438972, -76.55820465087891 -9.369315147399897, -76.59458160400391 -9.332926750183098, -76.77647399902344 -9.078227043151848, -77.1038818359375 -8.496058464050295, -77.1766357421875 -8.350512504577637, -76.99474334716797 -7.913886547088616, -76.95836639404298 -7.841113567352296, -76.88561248779297 -7.804728984832757, -76.84922790527344 -7.804728984832771, -76.15804290771484 -7.841113567352284, -75.97615051269531 -8.532443046569831, -75.93977355957031 -9.005457878112798, -75.93977355957031 -9.078227043151855, -76.12166595458984 -9.296542167663571, -76.23079681396484 -9.405699729919434, -76.26718139648438 -9.442084312438968, -76.48545074462891 -9.442084312438972))",17652.6,POINT (-76.50169056772377 -8.557300160732579),209.4859,50.4,30.87449631728982,311.1,3,76.47337756128444,25.491125853761478
44fe2e3a-5818,4d5d-ab0b-b620ad03dd69,2001-12-29 22:00:00,"POLYGON ((-76.30355834960938 -9.114615440368652, -76.48545074462891 -8.969069480895993, -76.52182769775391 -8.932684898376458, -76.59458160400391 -8.641600608825687, -76.59458160400391 -8.53244304656983, -76.52182769775391 -8.459670066833498, -76.48545074462891 -8.423285484313961, -76.01252746582031 -8.53244304656983, -75.93977355957031 -8.568827629089361, -75.93977355957031 -8.605212211608881, -75.97615051269531 -8.714369773864751, -76.01252746582031 -8.787142753601078, -76.04890441894531 -8.85991191864014, -76.12166595458984 -9.0054578781128, -76.23079681396484 -9.114615440368647, -76.30355834960938 -9.114615440368652))",3760.0,POINT (-76.2908367084014 -8.741419626644166),208.1319,21.1,,,3,76.47337756128444,25.491125853761478
44fe2e3a-5818,4e40-bec6-0f4be4661890,2001-12-30 00:00:00,"POLYGON ((-76.55820465087891 -9.842326164245605, -76.66734313964844 -9.805941581726072, -76.70372009277344 -9.76955699920655, -76.77647399902344 -9.696784019470208, -76.84922790527344 -9.514857292175302, -77.1766357421875 -8.496058464050295, -77.1766357421875 -8.314127922058111, -77.0675048828125 -8.023043632507326, -77.03112030029297 -7.986659526824952, -76.59458160400391 -7.768344402313237, -76.52182769775391 -7.768344402313232, -76.15804290771484 -7.804728984832763, -76.12166595458984 -7.841113567352298, -75.13945007324219 -9.587626457214357, -75.13945007324219 -9.624014854431156, -75.24858093261719 -9.73316860198975, -75.28496551513672 -9.769556999206543, -75.43047332763673 -9.805941581726069, -76.37631225585939 -9.842326164245605, -76.55820465087891 -9.842326164245605))",34498.0,POINT (-76.2709472392648 -8.899757655523034),209.7779,77.5,45.59888124399461,146.0,3,76.47337756128444,25.491125853761478
48f63ff8-4d27,4103-9bbf-e761a291698a,2001-12-30 17:00:00,"POLYGON ((-65.39005279541016 -5.83990049362182, -65.49919128417969 -5.803515911102295, -65.49919128417969 -5.657973766326906, -65.42643737792969 -5.148574352264402, -65.20816040039062 -4.893874645233153, -65.06265258789062 -4.821101665496823, -64.62611389160156 -4.893874645233157, -64.48059844970703 -4.930259227752688, -64.3350830078125 -5.148574352264408, -64.3350830078125 -5.366889476776123, -64.3714599609375 -5.43965864181519, -64.48059844970703 -5.51243162155152, -64.88076019287109 -5.767131328582767, -65.35367584228516 -5.83990049362182, -65.39005279541016 -5.83990049362182))",11102.4,POINT (-64.94875480224789 -5.325690516044318),210.0422,,105.55767883667157,9.1,3,117.1204207946347,39.04014026487823
48f63ff8-4d27,4298-bd39-d171b5b97d7a,2001-12-30 14:00:00,"POLYGON ((-64.73524475097656 -7.258944988250731, -64.95351409912109 -7.113402843475345, -65.64470672607422 -6.203757762908932, -65.71746063232422 -5.985446453094489, -65.71746063232422 -5.949058055877692, -65.68108367919922 -5.83990049362183, -65.60832214355469 -5.62158918380737, -65.49919128417969 -5.439658641815194, -65.46281433105469 -5.403274059295655, -65.13540649414062 -5.403274059295646, -65.06265258789062 -5.512431621551509, -64.91713714599609 -5.767131328582757, -64.69886779785156 -6.167373180389411, -64.66249084472656 -6.240146160125736, -64.55335235595703 -6.676772594451901, -64.55335235595703 -6.967856884002681, -64.66249084472656 -7.258944988250723, -64.73524475097656 -7.258944988250731))",15964.2,POINT (-65.10052840714657 -6.268043511842343),212.3291,15.4,11.562741957963125,15.5,3,117.1204207946347,39.04014026487823
48f63ff8-4d27,4e6d-b5ac-22d9308eaca9,2001-12-30 13:00:00,"POLYGON ((-64.66249084472656 -6.931472301483163, -64.77162170410156 -6.895087718963618, -65.68108367919922 -6.240146160125739, -65.68108367919922 -6.021831035614018, -65.53556823730469 -5.839900493621827, -64.84438323974609 -6.240146160125736, -64.80799865722656 -6.276530742645258, -64.62611389160156 -6.567615032196045, -64.58972930908203 -6.676772594451908, -64.58972930908203 -6.713157176971429, -64.66249084472656 -6.931472301483163))",6921.6,POINT (-65.12850558507991 -6.36878393842225),216.017,42.8,,,3,117.1204207946347,39.04014026487823
